timestamp,x,y,confidence,pupilD,docX,docY,HeadX,HeadY,HeadZ,HeadYaw,HeadPitch,HeadRoll
1739723089573,185.31847222222223,363.2375,,,185.31847222222223,363.2375,1.9,-11.3,46.4,-1.5,20.4,0.2
1739723089603,180.05277777777778,363.74708333333336,,,180.05277777777778,363.74708333333336,1.8,-11.7,46,-1.5,21.6,0.4
1739723089654,156.44208333333333,336.9090277777778,,,156.44208333333333,336.9090277777778,2.3,-11,47.9,-1.6,19.5,0.8
1739723089716,150.8366666666667,353.5554166666667,,,150.8366666666667,353.5554166666667,2.4,-10.1,47.2,-1.1,19,0.8
1739723089760,166.1241666666667,363.9169444444445,,,166.1241666666667,363.9169444444445,2.4,-10.1,47.2,-1.1,18.3,1.2
1739723089810,161.19819444444445,374.27847222222226,,,161.19819444444445,374.27847222222226,2.1,-11,46.5,-1.3,20.4,1
1739723089841,160.85847222222222,363.5772222222222,,,160.85847222222222,363.5772222222222,2.1,-11.1,46.8,-1.1,20.5,1.1
1739723089869,155.42291666666668,366.46486111111113,,,155.42291666666668,366.46486111111113,2.2,-10.6,47.2,-1.2,20,0.7
1739723089918,166.29402777777779,375.2976388888889,,,166.29402777777779,375.2976388888889,2.3,-10.3,46.6,-1.5,19.3,1.2
1739723089981,170.54055555555556,380.05375000000004,,,170.54055555555556,380.05375000000004,2.3,-10.5,46.3,-1.2,20.6,1.1
1739723090028,170.88027777777776,373.4291666666667,,,170.88027777777776,373.4291666666667,2.3,-10.5,46.3,-1.1,20.6,0.9
1739723090072,172.74874999999997,369.5223611111111,,,172.74874999999997,369.5223611111111,2.4,-10.3,46.6,-1.1,20,1
1739723090103,172.57888888888888,358.65125000000006,,,172.57888888888888,358.65125000000006,2.5,-10.5,46.7,-0.6,19.8,0.9
1739723090135,172.57888888888888,338.9473611111111,,,172.57888888888888,338.9473611111111,2.4,-10.8,46.9,-0.6,19.4,0.4
1739723090197,183.45000000000002,334.87069444444444,,,183.45000000000002,334.87069444444444,2.4,-10.8,47,-0.6,19.4,0.5
1739723090246,209.09902777777776,349.13902777777776,,,209.09902777777776,349.13902777777776,2.4,-10.6,46.7,-0.6,19.3,0.8
1739723090310,224.89611111111114,350.15819444444446,,,224.89611111111114,350.15819444444446,2.3,-10.5,46.4,-0.7,19.5,0.8
1739723090337,251.5643055555556,355.93347222222224,,,251.5643055555556,355.93347222222224,2.4,-10.6,46.5,-0.7,20,0.9
1739723090371,262.2655555555555,361.3690277777778,,,262.2655555555555,361.3690277777778,2.3,-10.5,46.4,-1.1,20.8,1
1739723090443,284.1776388888889,364.25666666666666,,,284.1776388888889,364.25666666666666,2.3,-10.5,46.5,-1.1,20.9,1
1739723090474,299.9747222222223,369.0127777777778,,,299.9747222222223,369.0127777777778,2.3,-10.5,46.5,-1.1,21,1.2
1739723090512,318.3197222222222,366.97444444444443,,,318.3197222222222,366.97444444444443,2.3,-10.5,46.5,-1.1,20.9,1.2
1739723090543,337.68388888888893,367.82375,,,337.68388888888893,367.82375,2.3,-10.5,46.5,-1.1,21,1.3
1739723090586,417.17888888888893,385.9988888888889,,,417.17888888888893,385.9988888888889,2.1,-10.5,46.1,-1.1,20.5,1
1739723090613,464.4002777777778,397.0398611111111,,,464.4002777777778,397.0398611111111,2.2,-10.5,46.5,-1.1,20.5,1.2
1739723090651,494.8054166666667,398.2288888888889,,,494.8054166666667,398.2288888888889,2.2,-10.6,46.5,-1.2,20.5,1.3
1739723090683,499.0519444444445,383.28111111111116,,,499.0519444444445,383.28111111111116,2.2,-10.6,46.5,-1.2,20.8,1.4
1739723090725,497.35333333333335,369.69222222222226,,,497.35333333333335,369.69222222222226,2.1,-10.6,46.5,-1.2,21,1.3
1739723090761,495.31500000000005,374.4483333333333,,,495.31500000000005,374.4483333333333,2,-10.5,46.3,-1.6,21.1,1.4
1739723090812,483.2548611111111,383.4509722222222,,,483.2548611111111,383.4509722222222,2.1,-10.5,46.4,-1.6,21.1,1.4
1739723090844,490.8986111111111,392.62347222222223,,,490.8986111111111,392.62347222222223,2,-10.5,46.3,-1.5,20.8,1.3
1739723090875,494.29583333333335,397.8891666666667,,,494.29583333333335,397.8891666666667,2,-10.5,46.3,-1.3,20.4,1.2
1739723090922,505.6765277777778,400.26722222222224,,,505.6765277777778,400.26722222222224,2,-10.5,46.3,-1.3,20.2,1.1
1739723090964,511.28194444444443,394.32208333333335,,,511.28194444444443,394.32208333333335,2,-10.5,46.3,-0.8,20,1.1
1739723090995,518.4161111111111,391.7741666666667,,,518.4161111111111,391.7741666666667,2.1,-10.6,46.5,-0.8,19.9,1
1739723091018,525.0406944444445,386.84819444444446,,,525.0406944444445,386.84819444444446,2.1,-10.6,46.5,-0.7,19.9,1
1739723091049,531.4954166666666,378.6948611111111,,,531.4954166666666,378.6948611111111,2.1,-10.6,46.5,-0.7,20,1.1
1739723091104,530.8159722222223,388.88652777777776,,,530.8159722222223,388.88652777777776,1.9,-10.9,46.3,-1.5,20.7,1.4
1739723091151,527.5886111111112,381.75236111111116,,,527.5886111111112,381.75236111111116,2,-11,47,-1.6,21.2,1.4
1739723091197,510.6025000000001,382.43180555555557,,,510.6025000000001,382.43180555555557,2.1,-10.3,47.1,-1.4,20,0.9
1739723091247,517.0572222222222,389.90569444444446,,,517.0572222222222,389.90569444444446,2.2,-10,46.5,-1.2,19.1,1.4
1739723091290,502.27930555555554,401.62611111111113,,,502.27930555555554,401.62611111111113,2.2,-10.6,46.5,-1.1,19.8,1.2
1739723091321,497.5231944444444,393.64263888888894,,,497.5231944444444,393.64263888888894,2.2,-10.7,46.7,-1,19.6,1.3
1739723091371,491.9177777777778,396.7001388888889,,,491.9177777777778,396.7001388888889,2.2,-10.6,46.7,-1.1,19.8,1.5
1739723091451,487.5013888888889,394.15222222222224,,,487.5013888888889,394.15222222222224,2.2,-10.6,46.7,-1.1,20.4,1.4
1739723091514,473.74263888888885,402.6452777777778,,,473.74263888888885,402.6452777777778,2.2,-10.5,46.6,-1.2,20.4,1.5
1739723091551,428.3897222222222,415.55472222222227,,,428.3897222222222,415.55472222222227,2.2,-10.5,46.6,-1.2,20.6,1.6
1739723091581,377.2615277777778,439.33527777777783,,,377.2615277777778,439.33527777777783,2.2,-10.5,46.6,-1.2,20.6,1.6